Firmware v0.1
<timeMS>, <accelX>, <accelY>, <accelZ>, <gyroX>, <gyroY>, <gyroZ>, <magX>, <magY>, <magZ>
4749, 0.47, 0.90, -0.26, 20.91, -15.24, 0.55, -58.51, -20.11, -9.00
4757, 0.49, 0.88, -0.29, 14.88, -13.05, 2.80, -61.07, -17.10, -9.75
4766, 0.49, 0.86, -0.29, 20.00, -11.46, 0.00, -60.02, -18.30, -11.25
4775, 0.47, 0.84, -0.28, 21.34, -10.79, -3.17, -61.07, -18.30, -10.50
4784, 0.44, 0.80, -0.29, 27.01, -11.46, -3.78, -60.47, -17.85, -10.80
4792, 0.47, 0.84, -0.28, 28.54, -9.94, -4.57, -59.56, -17.70, -10.35
4801, 0.45, 0.86, -0.31, 22.74, -7.38, -2.87, -59.86, -18.00, -10.35
4810, 0.46, 0.84, -0.33, 17.93, -4.57, 0.67, -58.51, -17.85, -12.30
4870, 0.44, 0.85, -0.35, 19.76, -5.00, -0.49, -59.11, -18.00, -10.65
4879, 0.48, 0.87, -0.30, 20.06, 0.49, 2.07, -58.96, -18.30, -11.25
4888, 0.47, 0.89, -0.35, 14.09, 0.49, 0.79, -58.96, -18.30, -11.25
4896, 0.46, 0.85, -0.35, 10.73, 0.00, 0.79, -59.26, -17.55, -11.55
4905, 0.44, 0.85, -0.35, 12.68, -1.71, -1.52, -59.71, -18.90, -11.25
4914, 0.47, 0.87, -0.32, 7.62, -0.91, -0.37, -60.92, -18.00, -10.95
4922, 0.45, 0.87, -0.33, -0.55, 1.40, 0.55, -60.47, -18.60, -10.50
4931, 0.45, 0.86, -0.35, 0.73, 1.22, 0.24, -59.11, -17.25, -10.65
4940, 0.45, 0.84, -0.33, 6.59, 0.67, 0.30, -60.17, -18.45, -10.35
4949, 0.43, 0.84, -0.34, 10.43, -0.30, -0.79, -60.17, -18.45, -10.35
4957, 0.46, 0.84, -0.31, 12.74, 0.85, -2.56, -61.52, -17.85, -7.65
4966, 0.45, 0.85, -0.32, 12.99, -1.52, -3.90, -62.27, -17.85, -10.80
4975, 0.45, 0.86, -0.34, 4.51, -3.48, -3.84, -61.37, -18.45, -8.85
4984, 0.46, 0.87, -0.32, -4.88, -4.39, -4.21, -60.62, -18.75, -10.35
5015, 0.46, 0.87, -0.31, -13.35, -4.57, -4.02, -61.37, -20.26, -6.75
5024, 0.47, 0.88, -0.32, -16.40, -4.94, -6.28, -62.27, -17.85, -6.60
5033, 0.44, 0.90, -0.33, -20.61, -7.99, -7.93, -62.27, -17.10, -6.30
5042, 0.46, 0.88, -0.33, -27.50, -9.33, -9.21, -61.07, -18.90, -7.35
5050, 0.48, 0.86, -0.33, -23.41, -9.27, -9.57, -63.62, -18.60, -7.65
5059, 0.41, 0.89, -0.34, -18.72, -8.54, -8.35, -63.47, -17.25, -6.75
5068, 0.46, 0.87, -0.32, -19.63, 1.40, 0.18, -63.47, -17.25, -6.75
5076, 0.48, 0.90, -0.31, -19.15, 2.50, -1.22, -62.42, -18.45, -7.50
5085, 0.48, 0.90, -0.30, -18.78, 4.02, -0.91, -62.57, -18.60, -7.35
5094, 0.47, 0.91, -0.29, -20.43, 5.06, 0.00, -62.42, -18.00, -6.75
5102, 0.49, 0.91, -0.24, -43.66, 6.65, 4.88, -63.32, -18.60, -7.35
5111, 0.47, 0.88, -0.22, -74.76, 9.88, 8.29, -61.37, -18.45, -7.20
5120, 0.46, 0.88, -0.29, -90.30, 9.63, 9.70, -62.72, -18.75, -7.20
5129, 0.40, 0.86, -0.24, -79.70, 6.10, 9.39, -62.27, -18.30, -7.20
5160, 0.39, 0.86, -0.28, -59.21, -2.13, 7.56, -59.86, -18.45, -6.75
5169, 0.39, 0.83, -0.28, -42.32, -6.28, 6.59, -61.37, -17.25, -7.20
5178, 0.41, 0.86, -0.26, -20.55, -13.41, 3.78, -61.37, -17.25, -7.20
5187, 0.43, 0.92, -0.24, 2.62, -14.63, 2.99, -61.37, -18.45, -6.45
5195, 0.42, 0.88, -0.26, 19.51, -14.15, 2.68, -61.37, -19.20, -6.45
5204, 0.42, 0.88, -0.28, 25.18, -11.10, 1.89, -62.27, -18.90, -6.30
5213, 0.43, 0.88, -0.28, 19.88, -4.76, 1.34, -61.52, -19.35, -6.30
5222, 0.44, 0.87, -0.26, 3.66, 1.34, 4.02, -61.52, -17.85, -4.80
5230, 0.42, 0.86, -0.29, -10.00, 7.07, 6.71, -62.72, -19.20, -7.50
5239, 0.42, 0.84, -0.28, -5.79, 9.21, 3.05, -59.71, -18.90, -9.00
5248, 0.43, 0.86, -0.25, -6.28, 8.96, 2.01, -59.71, -18.90, -9.00
5256, 0.43, 0.85, -0.28, -8.23, 8.66, 2.74, -62.57, -18.30, -7.95
5265, 0.42, 0.86, -0.26, -0.30, 6.10, 1.65, -63.02, -17.10, -6.90
5273, 0.43, 0.86, -0.26, 5.49, 1.89, 1.16, -61.52, -18.30, -7.65
5282, 0.43, 0.85, -0.30, 9.45, -2.44, 0.67, -62.57, -17.55, -8.70
5328, 0.44, 0.88, -0.25, 14.88, 2.01, -1.52, -61.37, -18.00, -4.95
5337, 0.46, 0.87, -0.23, 4.70, 5.37, 2.13, -62.27, -17.85, -5.55
5346, 0.45, 0.87, -0.23, -3.90, 8.96, 5.49, -62.72, -19.50, -7.20
5355, 0.48, 0.89, -0.25, -4.94, 9.21, 8.60, -62.57, -18.90, -6.60
5364, 0.48, 0.91, -0.26, -6.59, 10.30, 12.26, -61.67, -18.00, -7.50
5373, 0.48, 0.90, -0.26, -7.93, 7.44, 13.84, -62.12, -17.70, -7.20
5382, 0.48, 0.88, -0.27, -3.72, 2.32, 12.20, -63.17, -18.00, -7.20
5392, 0.58, 0.94, -0.20, -1.10, -1.77, 1.71, -62.12, -17.70, -6.75
5401, 0.45, 0.83, -0.26, 7.07, -0.79, -18.17, -63.32, -17.10, -6.90
5410, 0.42, 0.81, -0.27, 19.82, -6.52, -16.59, -61.82, -16.35, -6.90
5419, 0.46, 0.90, -0.25, 21.04, -11.65, -7.32, -62.42, -17.25, -7.50
5428, 0.47, 0.91, -0.22, 22.07, -11.95, -10.00, -62.42, -17.25, -7.50
5437, 0.47, 0.93, -0.26, 11.22, -7.80, -8.78, -61.82, -17.85, -6.90
5446, 0.47, 0.93, -0.23, -0.79, 0.12, -5.85, -62.12, -18.75, -7.20
5474, 0.48, 0.90, -0.24, -8.11, 5.30, -6.28, -61.07, -17.85, -5.85
5483, 0.46, 0.88, -0.24, -14.94, 5.49, -5.06, -62.72, -16.20, -8.25
5492, 0.48, 0.86, -0.27, -13.05, 5.37, -5.30, -62.12, -17.70, -6.45
5502, 0.44, 0.88, -0.29, -10.49, 6.16, -6.40, -61.82, -16.80, -5.55
5511, 0.44, 0.85, -0.28, -6.34, 5.85, -5.18, -61.82, -17.55, -5.25
5520, 0.43, 0.84, -0.29, 4.76, 3.11, -5.49, -63.32, -18.90, -5.25
5529, 0.42, 0.85, -0.27, 15.43, 1.40, -8.05, -62.42, -16.95, -5.70
5538, 0.43, 0.84, -0.26, 20.98, 1.04, -9.02, -62.42, -16.95, -5.70
5547, 0.43, 0.86, -0.26, 19.21, 0.73, -9.15, -63.17, -17.70, -4.95
5556, 0.45, 0.88, -0.27, 9.27, 2.74, -6.65, -61.82, -18.30, -4.80
5565, 0.44, 0.89, -0.27, 1.16, 5.12, -4.27, -63.02, -18.30, -5.25
5574, 0.44, 0.90, -0.29, -2.13, 4.70, -4.57, -63.32, -17.55, -5.55
5583, 0.44, 0.90, -0.29, 0.55, 4.21, -4.63, -62.57, -18.90, -5.55
5592, 0.44, 0.90, -0.29, 3.23, 4.02, -4.21, -61.07, -18.30, -4.80
5601, 0.43, 0.89, -0.31, 5.79, 4.39, -3.72, -63.62, -17.55, -4.50
5634, 0.43, 0.90, -0.30, 10.18, 4.09, -3.72, -61.52, -17.55, -6.60
5643, 0.44, 0.95, -0.31, 14.27, 3.41, -3.84, -60.47, -16.80, -5.25
5652, 0.44, 0.96, -0.32, 10.91, 2.44, -1.65, -61.37, -18.45, -6.00
5661, 0.44, 0.93, -0.31, 3.41, 5.49, 0.30, -60.02, -17.55, -4.50
5670, 0.43, 0.89, -0.31, -14.21, 11.22, 1.46, -61.52, -19.65, -5.55
5679, 0.45, 0.86, -0.27, -46.40, 17.13, 5.67, -61.82, -19.35, -3.75
5688, 0.44, 0.83, -0.24, -56.59, 20.79, 10.73, -62.57, -18.90, -4.80
5698, 0.36, 0.67, 0.02, -44.88, 17.80, 9.02, -62.57, -18.90, -4.80
5707, 0.40, 0.88, -0.20, -9.02, 0.00, 2.56, -61.67, -19.50, -3.60
5716, 0.47, 0.93, -0.15, -21.40, -2.07, 13.60, -62.12, -19.95, -3.60
5725, 0.47, 0.93, -0.24, 3.23, 0.43, 14.63, -61.82, -19.65, -2.70
5734, 0.44, 0.89, -0.28, 14.51, 7.38, 14.63, -62.57, -21.16, -3.00
5743, 0.47, 0.90, -0.27, -0.79, 7.87, 14.39, -63.02, -20.86, -1.95
5752, 0.42, 0.85, -0.26, 0.67, 9.39, 10.24, -63.62, -19.35, -1.95
5761, 0.41, 0.84, -0.27, 13.17, 7.38, 7.26, -63.02, -20.41, -3.45
5794, 0.47, 0.88, -0.26, 11.28, 0.67, 9.27, -60.62, -20.26, -1.20
5803, 0.47, 0.89, -0.28, 28.78, -1.59, 4.45, -60.62, -20.26, -1.50
5812, 0.51, 0.90, -0.19, 39.33, 6.59, 0.12, -61.52, -18.90, -1.65
5821, 0.49, 0.89, -0.19, 20.61, 10.61, 6.34, -60.77, -21.16, -2.40
5830, 0.51, 0.90, -0.21, 6.22, 12.62, 10.37, -62.42, -19.95, -3.90
5839, 0.53, 0.91, -0.19, -2.38, 12.68, 11.04, -60.62, -22.06, -4.35
5849, 0.54, 0.98, -0.21, -12.80, 16.10, 15.67, -60.17, -21.01, -4.35
5858, 0.52, 0.97, -0.22, -20.98, 19.15, 17.62, -60.17, -21.01, -4.35
5867, 0.51, 0.99, -0.26, -29.33, 20.24, 17.01, -58.81, -20.56, -3.30
5876, 0.52, 1.00, -0.28, -34.02, 22.44, 14.33, -60.47, -19.35, -2.70
5886, 0.48, 0.95, -0.33, -27.26, 23.23, 12.50, -60.77, -19.35, -4.20
5895, 0.45, 0.84, -0.33, -30.91, 27.07, 15.98, -60.62, -21.01, -3.30
5904, 0.45, 0.79, -0.21, -43.35, 30.61, 19.70, -60.47, -21.16, -3.75
5913, 0.43, 0.77, -0.21, -46.95, 32.99, 20.00, -60.17, -21.01, -3.90
5946, 0.46, 0.79, -0.19, -42.56, 29.33, 20.98, -58.21, -20.86, -2.70
5955, 0.47, 0.80, -0.17, -27.87, 24.09, 21.04, -58.51, -21.61, -4.80
5964, 0.48, 0.79, -0.14, -11.52, 19.33, 19.76, -59.56, -21.31, -4.35
5973, 0.50, 0.79, -0.12, 6.95, 12.74, 14.76, -59.26, -19.65, -5.25
5983, 0.50, 0.81, -0.13, 23.17, 5.91, 9.51, -59.86, -20.56, -4.35
5992, 0.51, 0.84, -0.14, 34.76, 2.20, 4.70, -60.47, -20.41, -5.25
6001, 0.53, 0.88, -0.17, 47.26, 1.04, -0.24, -59.71, -20.11, -5.25
6010, 0.52, 0.90, -0.24, 62.80, 2.32, -3.41, -59.26, -21.16, -6.30
6019, 0.49, 0.86, -0.29, 73.90, 4.15, -5.67, -58.51, -21.16, -4.80
6028, 0.48, 0.84, -0.27, 75.49, 6.71, -7.87, -58.96, -20.41, -5.85
6037, 0.49, 0.82, -0.24, 56.95, 8.60, -5.91, -58.96, -20.41, -5.85
6046, 0.53, 0.90, -0.16, 21.71, 14.27, -1.77, -59.26, -20.41, -4.20
6056, 0.54, 0.87, -0.14, -10.30, 18.48, 3.72, -60.92, -21.31, -4.65
6065, 0.49, 0.83, -0.19, -20.18, 19.45, 4.02, -59.26, -20.41, -5.25
6097, 0.48, 0.84, -0.22, -13.78, 14.33, 3.41, -58.21, -21.91, -4.80
6106, 0.49, 0.85, -0.21, -2.62, 8.41, 3.72, -57.91, -22.66, -6.30
6116, 0.50, 0.86, -0.21, 9.82, 6.95, 3.35, -58.36, -21.76, -6.00
6125, 0.52, 0.88, -0.26, 21.46, 5.00, 1.52, -59.56, -21.76, -7.50
6134, 0.52, 0.91, -0.32, 33.05, 5.12, 2.13, -58.36, -21.31, -8.25
6143, 0.52, 0.88, -0.28, 46.40, 6.71, 2.74, -58.36, -23.26, -7.50
6152, 0.48, 0.83, -0.32, 60.30, 6.89, -0.61, -60.47, -21.61, -7.35
6161, 0.45, 0.77, -0.26, 52.38, 6.95, 0.24, -59.11, -21.01, -8.25
6170, 0.50, 0.80, -0.18, 35.55, 2.38, 2.44, -58.81, -21.01, -7.50
6179, 0.50, 0.81, -0.15, 21.83, 0.12, 0.91, -58.81, -19.20, -7.80
6188, 0.50, 0.81, -0.15, 3.41, 2.68, 1.83, -57.46, -20.86, -7.35
6197, 0.51, 0.83, -0.17, -15.79, 2.50, 4.39, -57.46, -20.86, -7.35
6207, 0.51, 0.84, -0.20, -17.44, 0.12, 5.55, -58.06, -21.31, -8.55
6216, 0.54, 0.85, -0.21, -10.67, -1.95, 4.70, -58.06, -22.06, -8.55
6225, 0.52, 0.87, -0.29, -5.98, -6.28, 3.05, -57.91, -21.61, -7.65
6257, 0.52, 0.86, -0.29, 1.10, -4.76, 3.66, -58.81, -22.51, -6.45
6266, 0.52, 0.85, -0.31, 12.93, -1.71, 3.05, -57.01, -22.51, -6.75
6275, 0.52, 0.84, -0.32, 25.55, -0.12, 2.87, -59.11, -21.76, -7.80
6284, 0.52, 0.84, -0.30, 39.33, -0.24, 2.20, -57.61, -22.06, -6.00
6293, 0.51, 0.83, -0.26, 43.96, 1.65, 1.89, -57.01, -22.81, -6.45
6303, 0.52, 0.82, -0.28, 36.83, 3.23, 2.56, -57.31, -20.26, -7.80
6312, 0.50, 0.82, -0.23, 28.23, 3.72, 2.74, -59.11, -22.51, -7.80
6321, 0.52, 0.83, -0.22, 16.22, 3.72, 3.35, -58.21, -22.21, -6.30
6330, 0.50, 0.82, -0.25, 6.71, 3.54, 3.35, -58.81, -21.76, -6.75
6339, 0.51, 0.82, -0.27, 0.12, 2.01, 2.87, -57.31, -21.76, -6.00
6348, 0.51, 0.84, -0.30, 2.32, -2.13, 2.07, -57.16, -22.66, -6.90
6357, 0.50, 0.80, -0.33, 10.12, -2.99, 1.34, -57.16, -22.66, -6.90
6366, 0.49, 0.81, -0.33, 11.04, 0.30, -0.12, -58.81, -21.31, -7.20
6375, 0.52, 0.82, -0.32, 17.20, 0.37, -0.49, -58.06, -21.76, -7.80
6384, 0.52, 0.84, -0.32, 31.52, 0.12, -0.98, -58.06, -22.51, -7.80
6445, 0.52, 0.83, -0.31, 36.95, 0.55, -0.24, -56.71, -22.96, -5.85
6454, 0.54, 0.84, -0.32, 37.20, 0.43, 0.00, -56.56, -22.51, -5.40
6463, 0.55, 0.85, -0.32, 38.54, 0.85, -0.61, -59.26, -22.66, -6.30
6472, 0.51, 0.83, -0.31, 36.52, 5.24, -0.85, -59.11, -22.06, -6.75
6482, 0.54, 0.88, -0.24, 7.93, 10.91, 1.04, -58.21, -22.66, -5.85
6491, 0.55, 0.84, -0.21, -33.35, 17.26, 4.57, -57.61, -22.06, -7.20
6500, 0.51, 0.81, -0.28, -41.71, 21.71, 4.57, -58.96, -21.16, -5.85
6509, 0.51, 0.79, -0.30, -28.84, 18.66, 5.24, -57.31, -22.51, -6.75
6518, 0.52, 0.82, -0.28, -20.30, 10.55, 4.02, -57.61, -22.51, -6.00
6527, 0.54, 0.85, -0.30, -17.50, 7.62, 3.60, -57.61, -22.51, -6.00
6536, 0.53, 0.84, -0.31, -11.52, 9.21, 2.74, -58.36, -22.51, -7.20
6546, 0.52, 0.79, -0.32, -0.98, 7.56, 2.01, -59.56, -22.06, -6.00
6555, 0.49, 0.78, -0.32, 15.18, 4.76, 0.49, -57.01, -22.81, -6.45
6564, 0.51, 0.80, -0.28, 19.70, 3.60, -0.12, -58.21, -23.41, -5.25
6573, 0.54, 0.86, -0.28, 9.02, 5.12, -0.73, -57.31, -22.51, -6.75
6605, 0.53, 0.83, -0.27, 9.15, 7.93, -1.16, -55.81, -22.81, -4.95
6614, 0.53, 0.80, -0.27, 13.60, 5.67, -1.34, -58.06, -22.81, -6.00
6624, 0.52, 0.81, -0.26, 21.77, 2.68, -1.40, -57.01, -21.01, -6.45
6633, 0.52, 0.81, -0.28, 31.10, 1.16, -1.71, -58.06, -22.51, -6.75
6642, 0.50, 0.83, -0.29, 28.48, 1.34, -1.10, -57.46, -21.61, -7.35
6651, 0.54, 0.90, -0.24, -5.30, 7.74, 0.67, -58.21, -21.61, -5.85
6660, 0.55, 0.85, -0.27, -37.26, 14.57, 2.07, -58.96, -22.21, -6.90
6669, 0.52, 0.79, -0.28, -32.38, 14.57, 1.65, -60.17, -22.06, -6.45
6678, 0.51, 0.79, -0.30, -16.40, 8.78, 1.34, -58.21, -21.91, -6.60
6687, 0.52, 0.82, -0.27, -3.96, 2.99, 0.91, -58.21, -21.91, -6.60
6696, 0.54, 0.83, -0.27, 3.90, 0.67, 0.12, -58.21, -21.91, -5.55
6706, 0.53, 0.83, -0.29, 6.16, 0.18, -0.91, -59.26, -23.41, -5.85
6715, 0.53, 0.83, -0.30, 7.80, 1.52, -0.79, -58.36, -23.26, -6.00
6724, 0.55, 0.83, -0.27, 4.94, 1.34, 0.06, -56.71, -21.91, -6.60
6733, 0.54, 0.83, -0.29, 2.80, 1.52, 0.12, -57.46, -23.41, -6.30
6765, 0.53, 0.81, -0.29, 3.35, 1.34, 0.12, -56.56, -22.06, -5.40
6774, 0.54, 0.82, -0.28, 4.21, -1.04, 0.00, -58.36, -23.26, -5.40
6783, 0.54, 0.85, -0.31, -2.38, -1.10, 0.00, -58.36, -23.26, -5.40
6792, 0.53, 0.85, -0.30, -11.04, 1.59, 0.06, -57.16, -22.66, -6.30
6801, 0.51, 0.79, -0.29, -15.91, 5.37, 0.12, -57.91, -21.91, -4.50
6810, 0.53, 0.81, -0.31, -8.84, 5.43, -1.46, -58.21, -21.91, -5.55
6819, 0.54, 0.81, -0.27, 1.22, 3.72, -2.01, -57.46, -21.16, -4.50
6828, 0.54, 0.83, -0.26, 3.35, 4.15, -1.95, -59.11, -21.76, -4.95
6837, 0.53, 0.83, -0.28, -5.85, 4.51, -0.98, -59.11, -21.76, -4.95
6846, 0.52, 0.80, -0.29, -6.46, 5.73, -1.65, -59.56, -22.51, -6.00
6855, 0.51, 0.79, -0.27, 0.43, 5.12, -2.01, -58.21, -23.71, -6.90
6864, 0.52, 0.79, -0.28, 9.39, 2.38, -2.20, -57.01, -21.76, -5.40
6874, 0.52, 0.81, -0.26, 16.89, 2.01, -2.13, -58.06, -22.06, -6.75
6883, 0.55, 0.88, -0.29, 18.54, 1.77, -1.52, -57.91, -22.66, -5.25
6892, 0.58, 0.90, -0.27, -1.28, 5.00, 0.37, -57.91, -21.91, -6.30
6935, 0.56, 0.84, -0.25, -22.07, 8.29, 1.22, -57.46, -22.96, -5.85
6944, 0.53, 0.82, -0.27, -20.67, 8.41, 0.55, -57.91, -21.91, -5.25
6953, 0.52, 0.81, -0.26, -15.73, 6.77, 0.67, -57.91, -22.96, -7.35
6962, 0.53, 0.83, -0.24, -14.15, 6.52, 1.34, -57.91, -22.96, -5.25
6971, 0.52, 0.81, -0.27, -8.11, 7.20, 0.91, -58.81, -22.51, -4.35
6980, 0.52, 0.82, -0.26, -0.61, 6.52, -0.55, -57.16, -20.86, -6.30
6989, 0.53, 0.81, -0.26, 7.01, 4.02, -1.16, -57.61, -22.51, -7.20
6998, 0.52, 0.82, -0.27, 16.52, 0.79, -1.40, -57.31, -22.06, -5.70
7008, 0.52, 0.82, -0.27, 19.70, -0.98, -1.59, -57.01, -23.26, -5.40
7017, 0.53, 0.83, -0.27, 12.20, -1.16, -1.16, -57.01, -23.26, -5.40
7026, 0.52, 0.83, -0.28, 8.29, 0.67, -1.65, -58.36, -22.81, -4.35
7035, 0.51, 0.80, -0.29, 15.43, -0.79, -1.89, -58.21, -21.61, -5.25
7044, 0.52, 0.86, -0.24, 19.94, -1.95, -1.52, -57.91, -21.91, -5.85
7053, 0.57, 0.91, -0.21, -19.27, 1.83, 2.38, -59.26, -21.91, -4.80
7062, 0.55, 0.86, -0.25, -51.52, 7.74, 3.05, -58.06, -21.01, -6.00
7097, 0.52, 0.79, -0.26, -22.62, 1.28, 1.65, -56.41, -24.16, -5.25
7106, 0.53, 0.81, -0.25, -6.89, -1.59, 2.07, -58.06, -21.31, -3.60
7115, 0.52, 0.81, -0.27, 5.73, -2.38, 2.32, -58.96, -22.21, -5.25
7124, 0.53, 0.82, -0.29, 16.59, -4.39, 2.68, -58.06, -23.86, -4.95
7133, 0.54, 0.84, -0.29, 20.67, -5.91, 3.05, -58.81, -22.51, -6.00
7142, 0.53, 0.83, -0.30, 24.70, -7.74, 1.65, -57.46, -23.71, -5.25
7151, 0.52, 0.81, -0.28, 27.99, -6.22, 0.24, -58.96, -21.61, -4.50
7160, 0.52, 0.81, -0.25, 26.59, -4.70, 0.43, -59.56, -22.81, -4.95
7170, 0.55, 0.85, -0.24, 9.33, -1.89, 1.46, -57.91, -21.91, -5.55
7179, 0.56, 0.85, -0.23, -12.62, 3.29, 1.71, -58.06, -22.81, -4.65
7188, 0.55, 0.85, -0.25, -26.16, 5.98, 1.40, -57.16, -22.21, -4.50
7197, 0.54, 0.82, -0.27, -31.22, 5.30, 2.13, -57.16, -22.21, -4.50
7206, 0.52, 0.81, -0.30, -23.23, 4.27, 2.01, -58.06, -20.56, -4.95
7215, 0.54, 0.82, -0.32, -13.78, 3.05, 1.34, -58.96, -24.16, -6.30
7224, 0.54, 0.83, -0.30, -5.73, 3.17, 0.67, -57.46, -22.66, -5.25
7259, 0.54, 0.83, -0.31, 16.16, 0.73, -0.55, -57.16, -23.41, -5.25
7333, 0.55, 0.83, -0.28, 10.79, -0.67, -0.12, -57.16, -22.21, -6.60
7343, 0.55, 0.84, -0.27, 3.05, 1.52, -0.73, -56.41, -21.91, -5.25
7353, 0.56, 0.85, -0.29, -0.30, 1.95, -1.04, -59.11, -22.06, -5.40
7363, 0.54, 0.83, -0.27, -1.71, 1.52, -0.49, -58.51, -21.91, -4.50
7373, 0.54, 0.81, -0.27, -0.49, 1.77, -0.43, -57.61, -22.51, -6.45
7383, 0.53, 0.82, -0.26, -1.04, 1.34, 0.18, -58.51, -22.21, -5.85
7393, 0.53, 0.81, -0.25, -1.83, 1.46, 0.49, -57.61, -22.06, -5.40
7403, 0.52, 0.80, -0.25, 2.32, 0.73, 0.00, -57.61, -23.86, -6.45
7413, 0.53, 0.81, -0.25, 0.67, 0.37, 0.18, -58.96, -22.21, -5.85
7423, 0.55, 0.83, -0.27, -4.27, 0.61, 0.12, -57.16, -23.41, -7.35
7433, 0.54, 0.83, -0.27, -6.46, 1.40, -0.12, -58.06, -23.56, -5.70
7443, 0.54, 0.81, -0.28, -7.68, 1.10, -0.18, -57.16, -22.96, -5.85
7453, 0.53, 0.82, -0.27, -5.37, 0.61, -0.55, -57.91, -22.96, -5.85
7463, 0.56, 0.83, -0.29, -9.02, 0.49, 0.00, -57.91, -21.16, -4.80
7510, 0.55, 0.83, -0.27, -7.68, 1.95, 0.00, -56.26, -22.51, -5.40
7519, 0.53, 0.82, -0.27, -0.24, 1.10, -0.61, -59.56, -22.51, -6.75
7528, 0.54, 0.80, -0.26, 3.60, 0.30, -0.85, -57.91, -24.16, -5.25
7536, 0.53, 0.82, -0.25, 4.33, 1.16, -0.98, -57.91, -24.16, -5.25
7545, 0.54, 0.83, -0.25, 4.94, 0.67, -0.85, -58.36, -22.81, -5.70
7553, 0.52, 0.82, -0.27, 6.65, -0.55, -0.55, -59.56, -22.06, -6.45
7562, 0.53, 0.82, -0.25, 6.65, -0.98, -0.37, -59.56, -22.51, -6.00
7571, 0.53, 0.82, -0.24, 3.17, -1.46, 0.30, -57.46, -22.21, -6.30
7579, 0.55, 0.82, -0.26, 0.43, -1.16, 0.55, -58.36, -22.06, -4.95
7588, 0.53, 0.82, -0.25, 3.84, -2.50, 0.98, -57.61, -21.76, -6.00
7597, 0.54, 0.82, -0.28, 7.50, -5.00, 1.34, -57.61, -21.76, -6.00
7605, 0.54, 0.82, -0.24, 11.89, -5.43, 1.83, -57.16, -21.61, -7.65
7614, 0.55, 0.85, -0.24, 12.44, -6.04, 0.67, -58.51, -22.66, -5.55
7623, 0.55, 0.83, -0.22, 1.28, -5.06, 1.59, -58.36, -24.61, -7.20
7631, 0.55, 0.80, -0.25, -16.40, -1.65, 2.80, -57.91, -22.96, -5.85
7666, 0.55, 0.81, -0.27, -21.34, -0.85, -1.77, -57.91, -21.61, -4.80
7674, 0.53, 0.82, -0.28, -20.85, -3.41, -5.12, -58.81, -23.26, -6.45
7683, 0.53, 0.80, -0.27, -15.43, -4.51, -5.91, -58.36, -21.31, -6.45
7692, 0.51, 0.77, -0.26, -4.94, -6.28, -6.40, -59.26, -24.16, -5.85
7701, 0.50, 0.76, -0.25, 5.85, -8.72, -9.02, -58.21, -22.96, -4.50
7709, 0.51, 0.83, -0.28, -2.13, -6.52, -10.61, -59.71, -22.96, -5.55
7718, 0.52, 0.84, -0.28, -12.44, -3.35, -9.57, -59.11, -21.76, -3.60
7727, 0.53, 0.80, -0.17, -17.80, -3.29, -7.13, -59.11, -21.76, -3.60
7735, 0.54, 0.84, -0.27, -37.56, -2.44, -6.22, -60.62, -22.06, -5.40
7744, 0.53, 0.87, -0.27, -26.83, 0.49, -6.10, -58.96, -22.21, -3.75
7753, 0.51, 0.68, -0.20, -24.51, -4.51, -5.49, -59.86, -22.06, -3.90
7762, 0.53, 0.89, -0.23, -8.41, -3.96, -8.48, -58.51, -22.96, -3.75
7770, 0.58, 0.93, -0.28, -25.12, -1.77, -5.67, -62.12, -22.06, -5.40
7779, 0.57, 0.86, -0.31, -32.07, -0.30, -3.72, -58.81, -22.06, -3.30
7813, 0.52, 0.84, -0.26, -23.72, 2.07, -5.67, -60.17, -22.81, -3.60
7822, 0.53, 0.88, -0.24, -19.82, 0.24, -5.85, -59.56, -23.26, -3.90
7831, 0.53, 0.86, -0.26, -16.65, 0.18, -5.85, -59.71, -20.86, -5.25
7839, 0.52, 0.85, -0.27, -10.30, 1.04, -6.34, -59.71, -21.16, -4.80
7848, 0.50, 0.82, -0.26, -0.55, -0.30, -7.01, -59.71, -21.16, -3.75
7857, 0.50, 0.81, -0.28, 16.10, -3.84, -7.50, -59.71, -21.16, -3.75
7865, 0.50, 0.81, -0.28, 34.27, -6.59, -7.93, -60.47, -20.41, -6.90
7874, 0.50, 0.85, -0.26, 51.65, -9.63, -8.60, -58.96, -20.86, -6.90
7883, 0.50, 0.81, -0.24, 70.12, -12.44, -6.77, -57.16, -22.21, -7.35
7892, 0.52, 0.81, -0.26, 79.94, -15.12, -6.46, -58.36, -22.51, -7.80
7900, 0.51, 0.79, -0.25, 86.40, -17.13, -8.29, -59.71, -20.41, -6.30
7909, 0.49, 0.83, -0.19, 83.23, -19.94, -8.54, -58.81, -21.31, -7.50
7918, 0.51, 0.89, -0.17, 35.49, -15.49, -6.83, -59.56, -21.01, -6.75
7927, 0.52, 0.89, -0.18, -27.99, -7.68, -1.22, -59.56, -21.01, -6.75
7961, 0.51, 0.88, -0.23, -66.22, -1.52, 0.37, -59.86, -20.26, -3.60
7970, 0.49, 0.90, -0.17, -89.39, -3.78, -1.95, -60.62, -20.26, -4.35
7979, 0.51, 0.80, -0.25, -93.60, -7.50, 0.85, -60.77, -20.86, -4.20
7987, 0.48, 0.82, -0.27, -85.06, -7.32, -4.63, -62.12, -19.95, -4.65
